,temp
1924,1.9
1925,5.7
1926,6.2
1927,4.8
1928,7.7
1929,6.8
1930,3.4
1931,3.4
1932,4.0
1933,2.8
1934,4.4
1935,5.3
1936,4.3
1937,3.2
1938,6.8
1939,4.8
1940,4.9
1941,5.4
1942,11.4
1943,15.0
1944,20.4
1945,19.6
1946,17.5
1947,13.1
1948,11.3
1949,12.2
1950,11.2
1951,14.6
1952,9.2
1953,11.7
1954,17.5
1955,12.3
1956,6.7
1957,9.1
1958,14.1
1959,12.0
1960,7.9
1961,9.1
1962,12.5
1963,11.8
1964,8.2
1965,7.5
1966,6.0
1967,5.7
1968,9.4
1969,11.0
1970,12.0
1971,10.1
1972,11.5
1973,8.4
1974,14.0
1975,13.4
1976,15.3
1977,9.6
1978,10.0
1979,12.9
1980,16.3
1981,18.1
1982,17.8
1983,20.2
1984,11.2
1985,12.3
1986,8.7
1987,8.4
1988,13.2
1989,10.9
1990,13.6
1991,14.2
1992,11.9
1993,11.4
1994,13.2
1995,19.1
1996,17.2
1997,18.4
1998,13.5
1999,18.6
2000,22.0
2001,20.6
2002,17.4
2003,17.9
2004,17.7
2005,17.8
2006,15.6
2007,15.8
2008,16.4
2009,17.6
2010,15.5
2011,12.3
2012,14.5
2013,18.1
2014,19.2
2015,18.9
2016,20.6
2017,21.5
2018,20.9
2019,21.6
2020,20.3
2021,23.0
2022,21.8
2023,22.4
2024,24.0
2025,20.2
2026,20.0
2027,21.6
2028,21.6
2029,16.6
2030,16.4
2031,16.3
2032,18.1
2033,17.0
2034,16.4
2035,17.0
2036,16.0
2037,19.0
2038,19.6
2039,18.0
2040,15.5
2041,14.7
2042,16.4
2043,16.4
2044,14.0
2045,12.1
2046,14.4
2047,19.0
2048,20.0
2049,18.8
2050,19.5
2051,19.2
2052,17.4
2053,18.4
2054,19.8
2055,20.0
2056,19.2
2057,19.5
2058,21.5
2059,22.2
2060,21.0
2061,18.4
2062,17.0
2063,20.1
2064,21.9
2065,17.4
2066,17.0
2067,18.1
2068,16.8
2069,17.0
2070,18.8
2071,18.8
2072,15.3
2073,17.3
2074,16.2
2075,18.0
2076,20.7
2077,19.2
2078,17.4
2079,15.8
2080,17.0
2081,12.5
2082,10.9
2083,10.1
2084,11.9
2085,12.8
2086,12.4
2087,11.2
2088,12.8
2089,14.4
2090,13.8
2091,12.6
2092,12.1
2093,13.4
2094,13.9
2095,10.3
